time realx realy realh kalx kaly kalh gpsx gpsy gpsh kinx kiny kinh imuh
5.10128 -9.18203e-05 0.500952 -0.00278694 -0.000184489 0.509095 -0.00278693 0.0276098 0.382709 110.368 0 0.495306 0 138.775
5.11827 -9.30667e-05 0.514523 -0.00773728 -0.000184101 0.522829 -0.00773728 0.0276098 0.382709 110.368 0 0.508862 0 138.77
5.13526 -9.48992e-05 0.528281 -0.00752585 -0.000184149 0.536772 -0.00752585 0.0276098 0.382709 110.368 0 0.522594 0 138.771
5.15226 -9.73503e-05 0.542224 -0.0126175 -0.000184679 0.55092 -0.0126175 0.0276098 0.382709 110.368 0 0.536555 0 138.765
5.16927 -0.000100438 0.556368 -0.012397 -0.000185699 0.565232 -0.012397 0.0276098 0.382709 110.368 0 0.550714 0 138.766
5.18627 -0.000102826 0.570676 -0.00672963 -0.000185695 0.579804 -0.00672962 0.0276098 0.382709 110.368 0 0.565021 0 138.771
5.20327 -0.0001045 0.585174 -0.0065032 -0.000184894 0.5945 -0.0065032 0.0276098 0.382709 110.368 0 0.579596 0 138.772
5.22024 -0.000106844 0.59982 -0.0118377 -0.000184512 0.609419 -0.0118377 0.0276098 0.382709 110.368 0 0.594272 0 138.766
5.23725 -0.000109884 0.614685 -0.0115948 -0.000184588 0.624534 -0.0115948 0.0276098 0.382709 110.368 0 0.609225 0 138.766
5.25428 -0.000112145 0.629751 -0.00560387 -0.000183502 0.639867 -0.00560385 0.0276098 0.382709 110.368 0 0.624373 0 138.772
